claim_id,claim_text,analysis_type,model_specification,metric,value,CI,source_file,source_row_or_feature,allowed_wording
CLAIM_01,"Event-level StatsBomb 360 freeze-frame spatial geometry provides modest but statistically reliable incremental predictive information for 5-second controlled regains beyond event context and pitch location alone (Model 1 Context ROC-AUC = 0.7926, PR-AUC = 0.7393 vs Model 3 Full Spatial Logistic ROC-AUC = 0.8156, PR-AUC = 0.7770; Delta ROC-AUC = +0.0230, Delta PR-AUC = +0.0377, Delta Brier = -0.0063).",Out-of-sample nested model comparison (5-fold match-clustered CV),Model 1 (Context) vs Model 3 (Full Spatial Logistic),Delta ROC-AUC / Delta PR-AUC / Delta Brier,"+0.0230 (ROC-AUC), +0.0377 (PR-AUC)","[+0.0181, +0.0278] (ROC-AUC), [+0.0330, +0.0448] (PR-AUC)",results/tables/model_incremental_value.csv,"target=regain_5s, comparison=Model 1 vs Model 3",StatsBomb 360 freeze-frame spatial geometry provided modest but statistically reliable incremental predictive information for 5-second controlled regains beyond pitch location and event context.
CLAIM_02,"Immediate local teammate proximity to the ball at counterpress initiation was strongly associated with higher odds of controlled possession regain (beta = -0.2228, OR = 0.8003 [0.7294, 0.8781], p < 0.0001, q < 0.0001; 1 SD = 8.184 StatsBomb coordinate units). Holding other covariates fixed, 1 SD closer distance corresponds to ~25.0% higher odds of regain.",Multivariable clustered logistic regression (match_id clusters),PRIMARY_INFERENTIAL_MODEL,Odds Ratio (OR) per SD,0.8003,"[0.7294, 0.8781]",results/tables/logistic_coefficients.csv,"target=regain_5s, feature=nearest_teammate_distance","Holding modeled covariates fixed, closer immediate teammate proximity to the ball at counterpress initiation was strongly associated with higher odds of controlled possession regain (OR = 0.800 per 8.2 units distance)."
CLAIM_03,"Broader local numerical support around the ball was positively associated with controlled regain odds, with robust positive associations at the 10-unit ring (OR = 1.0705 [1.0141, 1.1301], p = 0.0136, q = 0.0218) and 15-unit ring (OR = 1.1443 [1.0852, 1.2067], p < 0.0001, q < 0.0001). Immediate 5-unit advantage was not independently significant in the fully adjusted specification (OR = 1.0217, p = 0.3285).",Multivariable clustered logistic regression (match_id clusters),PRIMARY_INFERENTIAL_MODEL,Odds Ratio (OR) per SD,"OR_10=1.0705, OR_15=1.1443","10u: [1.0141, 1.1301]; 15u: [1.0852, 1.2067]",results/tables/logistic_coefficients.csv,"target=regain_5s, features=numerical_advantage_10, numerical_advantage_15","A greater local numerical surplus within 10 to 15 coordinate units was associated with increased odds of controlled regain conditional on other features, while immediate 5-unit surplus was not independently significant."
CLAIM_04,"Longitudinal pitch position at turnover initiation was the dominant predictor of transition danger (beta = -0.9715, OR = 0.3785 [0.3591, 0.3990], p < 0.0001, q < 0.0001). Observed danger rates recomputed from frozen episodes were 31.57% in the defensive third (1,280/4,054), 27.41% in the middle third (2,690/9,815), and 11.28% in the attacking third (874/7,747).",Multivariable clustered GLM & descriptive stratification,PRIMARY_INFERENTIAL_MODEL,Odds Ratio (OR) & Descriptive Danger Rate (%),"OR=0.3785; Def=31.57%, Att=11.28%","[0.3591, 0.3990]","results/tables/logistic_coefficients.csv, data/processed/counterpress_features.parquet","target=danger_15s, feature=initiation_x",Longitudinal pitch position at turnover initiation is the dominant predictor of transition danger: turnovers in the defensive third are associated with nearly three times the baseline danger of attacking-third turnovers (31.57% vs 11.28%).
CLAIM_05,"Counterpress episodes initiated farther from the touchline were associated with significantly greater transition danger (beta = 0.1981, OR = 1.2190 [1.1740, 1.2658], p < 0.0001, q < 0.0001). Descriptive transition danger rose from 16.86% in touchline zones (0-10u) to 25.15% in central zones (20-40u), consistent with greater access to central counter-attacking space.",Multivariable clustered GLM & descriptive stratification,PRIMARY_INFERENTIAL_MODEL,Odds Ratio (OR) per SD & Descriptive Danger Rate (%),"OR=1.2190; Wide=16.86%, Central=25.15%","[1.1740, 1.2658]","results/tables/logistic_coefficients.csv, results/tables/descriptive_outcome_tables.csv","target=danger_15s, feature=distance_to_nearest_touchline","Counterpress episodes initiated farther from the touchline were associated with significantly greater transition danger, with descriptive danger rising from 16.86% in wide areas to 25.15% in central areas, consistent with greater access to central counter-attacking space."
CLAIM_06,"Unadjusted regain rates were nearly flat across pitch width (34.30% wide vs 34.85% central), but after adjustment greater centrality was associated with modestly higher regain odds (OR = 1.1113 [1.0712, 1.1529], p < 0.0001, q < 0.0001). Central counterpress episodes were also associated with substantially greater dangerous-transition risk (OR = 1.2190 [1.1740, 1.2658], p < 0.0001, q < 0.0001).",Multivariable clustered GLM contrast & descriptive cross-tabulation,PRIMARY_INFERENTIAL_MODEL,Odds Ratio (OR) per SD for Regain vs Danger,"Regain OR=1.1113, Danger OR=1.2190","Regain: [1.0712, 1.1529]; Danger: [1.1740, 1.2658]","results/tables/logistic_coefficients.csv, results/tables/descriptive_outcome_tables.csv","target=regain_5s & danger_15s, feature=distance_to_nearest_touchline","Unadjusted regain rates were nearly flat across pitch width, but after adjustment greater centrality was associated with modestly higher regain odds. Central counterpress episodes were also associated with substantially greater dangerous-transition risk."
CLAIM_07,"Flexible non-linear models do not materially improve out-of-sample discrimination for controlled regain over standard logistic regression (Model 3 vs Model 4 GAM Delta ROC-AUC = +0.0001 [-0.0014, +0.0018]; Model 3 vs Model 5 HGB Delta ROC-AUC = -0.0011 [-0.0042, +0.0022]). Confidence intervals clearly overlap zero, indicating linear sufficiency for regain probability estimation.","Paired match-clustered bootstrap model comparison (1,000 resamples)",Model 3 (Full Spatial Logistic) vs Models 4 (GAM) & 5 (HGB),Delta ROC-AUC (point estimate & 95% bootstrap CI),"GAM=+0.0001, HGB=-0.0011","GAM: [-0.0014, +0.0018], HGB: [-0.0042, +0.0022]",results/tables/paired_model_comparisons.csv,"target=regain_5s, metric=delta_roc_auc",Flexible non-linear and tree-based models did not materially improve out-of-sample discrimination over the full spatial logistic model for predicting 5-second controlled regains.
CLAIM_08,"Flexible gradient boosting yields statistically superior probability ranking and precision-recall performance for transition danger over spatial logistic regression (Delta ROC-AUC = +0.0091 [+0.0059, +0.0125]; Delta PR-AUC = +0.0394 [+0.0299, +0.0490]; Delta Brier = -0.0040 [-0.0050, -0.0032]), reflecting threshold non-linearities across longitudinal pitch depth and lateral corridor penetration.","Paired match-clustered bootstrap model comparison (1,000 resamples)",Model 3 (Full Spatial Logistic) vs Model 5 (HGB),Delta ROC-AUC / Delta PR-AUC / Delta Brier,"ROC=+0.0091, PR=+0.0394","ROC: [+0.0059, +0.0125], PR: [+0.0299, +0.0490]",results/tables/paired_model_comparisons.csv,"target=danger_15s, comparison=Model 3 vs Model 5 (HGB)","For transition danger, flexible models yielded better out-of-sample probability ranking and precision-recall performance, consistent with non-linear threshold effects across pitch length and lateral corridors."
CLAIM_09,"Model predictive performance generalizes consistently across diverse professional competitions in leave-one-competition-out cross-validation. Out-of-sample ROC-AUC across 7 held-out competitions ranged from 0.7873 (1. Bundesliga) to 0.8466 (Ligue 1) for controlled regain, and from 0.7532 (1. Bundesliga) to 0.7919 (UEFA Euro) for transition danger.",Leave-one-competition-out cross-validation (7 competition partitions),Model 3 Full Spatial Logistic (leave-one-competition-out),Out-of-distribution ROC-AUC range,"Regain: [0.7873, 0.8466]; Danger: [0.7532, 0.7919]",N/A (Across 7 competitions: 7 partitions),results/tables/leave_competition_out.csv,"targets=regain_5s, danger_15s","The model retained similar discrimination when each of the seven represented competition groups was held out in turn, demonstrating robust out-of-distribution transfer across domestic leagues and international tournaments."
CLAIM_10,"Estimated spatial associations are robust to broadcast camera visibility truncation. Restricting analysis to high-visibility episodes (coverage_10 >= 80%, N = 20,548) yielded consistent coefficient signs and overlapping confidence intervals compared to the full cohort (Nearest Teammate Distance OR = 0.8833 [0.8445, 0.9240] vs 0.8662 [0.8025, 0.9350]; Initiation X OR = 0.3810 [0.3445, 0.4214] vs 0.3738 [0.3393, 0.4118]).",High-visibility sensitivity subset analysis (clustered GLM),HIGH_LOCAL_VISIBILITY_SENSITIVITY vs FULL_COHORT_TACTICAL_SENSITIVITY,Sensitivity Odds Ratios and 95% CIs,"Local: TM_OR=0.8833, X_OR=0.3810","TM: [0.8445, 0.9240]; X: [0.3445, 0.4214]",results/tables/high_coverage_sensitivity_coefficients.csv,"subset=Local Coverage >= 80%, features=initiation_x, nearest_teammate_distance","Sensitivity analyses restricting the cohort to episodes with high camera coverage (>=80%) yielded qualitatively and quantitatively similar coefficient estimates, indicating that camera truncation does not drive the primary spatial findings."
